"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-4422-kw-series.pdf","http://media.digikey.com/Photos/Cooper%20Bussmann%20Photos/KW-5R5C334-R.JPG","283-4151-ND","KW-5R5C334-R","Eaton Bussmann","CAP 330MF -20% +80% 5.5V T/H",398,0,"4.38000",0,1,"Bulk","PowerStor® KW","330mF","-20%, +80%","5.5V","50 Ohm @ 1kHz","2000 Hrs @ 85°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.327"" (8.30mm)","-40°C ~ 85°C"
"http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-4422-kw-series.pdf","http://media.digikey.com/Photos/Cooper%20Bussmann%20Photos/KW-5R5C104-R.JPG","283-4152-ND","KW-5R5C104-R","Eaton Bussmann","CAP 100MF -20% +80% 5.5V T/H",270,0,"4.25000",0,1,"Bulk","PowerStor® KW","100mF","-20%, +80%","5.5V","50 Ohm @ 1kHz","2000 Hrs @ 85°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.327"" (8.30mm)","-40°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dh_e.pdf","http://media.digikey.com/photos/Elna%20America%20Photos/ELNA%20AMERICA%20INC-SERIES-DB_DH-5R5D%2013.5D.jpg","604-1011-ND","DH-5R5D474T","Elna America","CAP 470MF -20% +80% 5.5V T/H",845,0,"4.22000",0,1,"Bulk","DH","470mF","-20%, +80%","5.5V","50 Ohm","1000 Hrs @ 85°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.374"" (9.50mm)","-25°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dh_e.pdf","http://media.digikey.com/photos/Elna%20America%20Photos/ELNA%20AMERICA%20INC-SERIES-DB_DH-5R5D%2013.5D.jpg","604-1013-ND","DH-5R5D105T","Elna America","CAP 1F -20% +80% 5.5V T/H",2602,0,"4.22000",0,1,"Bulk","DH","1F","-20%, +80%","5.5V","30 Ohm","1000 Hrs @ 85°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.374"" (9.50mm)","-25°C ~ 85°C"
"http://www.cde.com/resources/catalogs/EDL.pdf","http://media.digikey.com/Photos/Cornell%20Dubilier%20Photos/EDLNFxxxB5R5C.jpg","338-3562-ND","EDLNF105B5R5C","Cornell Dubilier Electronics (CDE)","CAP 1F 5.5V THROUGH HOLE",241,800,"4.08000",0,1,"Bulk","NF","1F","-","5.5V","30 Ohm @ 1kHz","1000 Hrs @ 85°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.315"" (8.00mm)","-25°C ~ 70°C"
"http://www.kemet.com/docfinder?Partnumber=FG0H105ZF","http://media.digikey.com/Photos/Kemet%20Photos/FG(R)0H105ZF.jpg","399-10805-ND","FG0H105ZF","Kemet","CAP 1F -20% +80% 5.5V T/H",248,0,"3.91000",0,1,"Bulk","FG","1F","-20%, +80%","5.5V","65 Ohm @ 1kHz","-","-","Through Hole","Radial, Can","0.200"" (5.08mm)","0.650"" Dia (16.50mm)","0.748"" (19.00mm)","-25°C ~ 70°C"
"http://www.cde.com/resources/catalogs/EDL.pdf","http://media.digikey.com/Photos/Cornell%20Dubilier%20Photos/EDLSGxxxV5R5C.jpg","338-3569-ND","EDLSG105V5R5C","Cornell Dubilier Electronics (CDE)","CAP 1F 5.5V THROUGH HOLE",143,0,"3.83000",0,1,"Bulk","SG","1F","-","5.5V","30 Ohm @ 1kHz","1000 Hrs @ 85°C","-","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.748"" Dia (19.00mm)","0.217"" (5.50mm)","-25°C ~ 70°C"
"http://www.nec-tokin.com/english/product/pdf_dl/supercapacitors.pdf","http://media.digikey.com/Photos/Kemet%20Photos/FYD0H474ZF.jpg","399-10804-ND","FYD0H474ZF","Kemet","CAP 470MF -20% +80% 5.5V T/H",136,0,"3.60000",0,1,"Bulk","FYD","470mF","-20%, +80%","5.5V","65 Ohm @ 1kHz","-","-","Through Hole","Radial, Can","0.200"" (5.08mm)","0.650"" Dia (16.50mm)","0.591"" (15.00mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dbn_e.pdf","http://media.digikey.com/Photos/Elna%20America%20Photos/DB21%20SERIES.JPG","604-1003-ND","DB-5R5D105T","Elna America","CAP 1F -20% +80% 5.5V T/H",8756,0,"3.60000",0,1,"Bulk","DB","1F","-20%, +80%","5.5V","30 Ohm @ 1kHz","1000 Hrs @ 70°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.315"" (8.00mm)","-25°C ~ 70°C"
"http://www.cde.com/resources/catalogs/EDL.pdf","http://media.digikey.com/Photos/Cornell%20Dubilier%20Photos/EDLF473A5R5C.JPG","338-3561-ND","EDLF473A5R5C","Cornell Dubilier Electronics (CDE)","CAP 47MF 5.5V THROUGH HOLE",600,1800,"3.44000",0,1,"Bulk","F","47mF","-","5.5V","120 Ohm @ 1kHz","1000 Hrs @ 85°C","-","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.374"" (9.50mm)","-25°C ~ 85°C"
